name,class,label
Case-3-A10-10547-25283,Non-Tumor,0
Case-3-A10-10566-40206,Non-Tumor,0
Case-3-A10-13444-20223,Non-Tumor,0
Case-3-A10-14507-37285,Non-Tumor,0
Case-3-A10-14726-26052,Non-Tumor,0
Case-3-A10-14813-24100,Non-Viable-Tumor,2
Case-3-A10-16082-41283,Non-Tumor,0
Case-3-A10-17206-19249,Non-Viable-Tumor,2
Case-3-A10-19799-5772,Non-Viable-Tumor,2
Case-3-A10-25071-24159,Non-Viable-Tumor,2
Case-3-A10-26546-21577,Non-Viable-Tumor,2
Case-3-A10-26935-6593,Non-Viable-Tumor,2
Case-3-A10-28110-17616,Non-Viable-Tumor,2
Case-3-A10-28463-9497,Non-Viable-Tumor,2
Case-3-A10-32184-17317,Non-Viable-Tumor,2
Case-3-A10-33239-2811,Non-Viable-Tumor,2
Case-3-A10-3671-14840,Non-Tumor,0
Case-3-A10-37695-6276,Non-Viable-Tumor,2
Case-3-A10-42682-16878,Non-Viable-Tumor,2
Case-3-A10-43205-4260,Non-Viable-Tumor,2
Case-3-A10-43279-17240,Non-Viable-Tumor,2
Case-3-A10-43563-32168,Non-Tumor,0
Case-3-A10-6162-33852,Non-Tumor,0
Case-3-A10-6747-12959,Non-Tumor,0
Case-3-A10-6935-14250,Non-Tumor,0
Case-3-A10-7101-7481,Non-Viable-Tumor,2
Case-3-A10-9695-39638,Non-Tumor,0
Case-3-A12-12706-7126,Non-Viable-Tumor,2
Case-3-A12-14795-35402,Non-Tumor,0
Case-3-A12-16067-9053,Non-Viable-Tumor,2
Case-3-A12-17700-32032,Non-Tumor,0
Case-3-A12-18156-14343,Non-Viable-Tumor,2
Case-3-A12-1902-25383,Non-Tumor,0
Case-3-A12-19907-12559,Non-Viable-Tumor,2
Case-3-A12-20939-18996,Non-Viable-Tumor,2
Case-3-A12-24008-4724,Non-Viable-Tumor,2
Case-3-A12-24626-4413,Non-Viable-Tumor,2
Case-3-A12-26266-6931,Non-Viable-Tumor,2
Case-3-A12-27307-29117,Non-Viable-Tumor,2
Case-3-A12-28029-11197,Non-Viable-Tumor,2
Case-3-A12-29223-26617,Non-Viable-Tumor,2
Case-3-A12-29860-25889,Non-Viable-Tumor,2
Case-3-A12-30696-5036,Non-Viable-Tumor,2
Case-3-A12-3094-27426,Non-Tumor,0
Case-3-A12-3218-15469,Non-Tumor,0
Case-3-A12-32422-16245,Non-Viable-Tumor,2
Case-3-A12-32477-34353,Non-Tumor,0
Case-3-A12-33164-13699,Non-Viable-Tumor,2
Case-3-A12-34294-35557,Non-Tumor,0
Case-3-A12-37374-17669,Viable,1
Case-3-A12-37793-17155,Viable,1
Case-3-A12-38883-35759,Non-Tumor,0
Case-3-A12-39264-6515,Non-Viable-Tumor,2
Case-3-A12-42160-4982,Non-Viable-Tumor,2
Case-3-A12-43202-17223,Non-Viable-Tumor,2
Case-3-A12-4590-32528,Non-Tumor,0
